DEPARTAMENTO,PROVINCIA,DISTRITO,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,TOTAL,,,,,,,,,
LA LIBERTAD,TRUJILLO,HUANCHACO,,,1,1,,7,,,1,1,2,1,,14,,,,,,,,,
LA LIBERTAD,TRUJILLO,LA ESPERANZA,3,3,1,4,4,9,7,8,1,5,1,,3,49,,,,,,,,,
LA LIBERTAD,TRUJILLO,LAREDO,1,1,1,2,2,1,2,,,,1,,1,12,,,,,,,,,
LA LIBERTAD,TRUJILLO,MOCHE,,,,,1,,,1,,,1,,,3,,,,,,,,,
LA LIBERTAD,TRUJILLO,SALAVERRY,,,,,1,,,,,,,,,1,,,,,,,,,
LA LIBERTAD,TRUJILLO,TRUJILLO,1,,1,4,5,4,2,1,1,4,,3,,26,,,,,,,,,
LA LIBERTAD,TRUJILLO,VICTOR LARCO HERRERA,,,,2,,,,,2,,,,1,5,,,,,,,,,
LA LIBERTAD,PACASMAYO,GUADALUPE,,1,,,1,,,,,,,,,2,,,,,,,,,
LA LIBERTAD,PACASMAYO,PACASMAYO,,,,,,1,,,,,,1,,2,,,,,,,,,
LA LIBERTAD,PACASMAYO,SAN JOSE,1,,,,,,,,,,,,,1,,,,,,,,,
LA LIBERTAD,PACASMAYO,SAN PEDRO DE LLOC,,,,,,1,,,,,,,,1,,,,,,,,,
LA LIBERTAD,CHEPEN,CHEPEN,,1,2,,,,,,,,,,1,4,,,,,,,,,
LA LIBERTAD,CHEPEN,PACANGA,,,1,,,,,,,,,,,1,,,,,,,,,
LA LIBERTAD,VIRU,CHAO,,,,1,,,,,,5,,4,1,11,,,,,,,,,
LA LIBERTAD,VIRU,VIRU,1,2,,,1,,,,,,1,2,3,10,,,,,,,,,
LA LIBERTAD,PATAZ,PARCOY,,,,,1,,1,,,,,,,2,,,,,,,,,
LA LIBERTAD,PATAZ,TAYABAMBA,,,,,,,1,,1,,,,,2,,,,,,,,,
LA LIBERTAD,SANCHEZ CARRION,CHUGAY,,,,,,,,,,1,,,,1,,,,,,,,,
LA LIBERTAD,SANCHEZ CARRION,HUAMACHUCO,,,,1,,2,,,,1,,1,,5,,,,,,,,,
LA LIBERTAD,SANCHEZ CARRION,SARIN,,,,,,,,,,1,,,,1,,,,,,,,,
LA LIBERTAD,OTUZCO,SINSICAP,,,,,,1,,,,,,,,1,,,,,,,,,
LA LIBERTAD,OTUZCO,USQUIL,,,1,,,,1,1,,,,,,3,,,,,,,,,
LA LIBERTAD,SANTIAGO DE CHUCO,QUIRUVILCA,,,,,,,,,,,1,,,1,,,,,,,,,
LAMBAYEQUE,CHICLAYO,CAYALTI,,1,,,,,1,,,,,,,2,,,,,,,,,
LAMBAYEQUE,CHICLAYO,CHICLAYO,1,2,1,,1,2,1,2,2,1,,,1,14,,,,,,,,,
LAMBAYEQUE,CHICLAYO,ETEN PUERTO,,,,1,,,,,,,,,,1,,,,,,,,,
LAMBAYEQUE,CHICLAYO,JOSE LEONARDO ORTIZ,,3,1,1,1,1,3,1,,6,,,,17,,,,,,,,,
LAMBAYEQUE,CHICLAYO,LA VICTORIA,,,,,,,1,,1,,,,,2,,,,,,,,,
LAMBAYEQUE,CHICLAYO,PATAPO,,,,,,,,,,,,,1,1,,,,,,,,,
LAMBAYEQUE,CHICLAYO,PICSI,,1,,,,,,,,,,,,1,,,,,,,,,
LAMBAYEQUE,CHICLAYO,PIMENTEL,,,,,1,,,,1,,,,,2,,,,,,,,,
LAMBAYEQUE,CHICLAYO,POMALCA,,,,,1,,1,,,,,,,2,,,,,,,,,
LAMBAYEQUE,CHICLAYO,PUCALA,,2,,,,,,,,,,,,2,,,,,,,,,
LAMBAYEQUE,CHICLAYO,SAÑA,,,,,,,1,,,,,,,1,,,,,,,,,
LAMBAYEQUE,CHICLAYO,SANTA ROSA,,,,,,,,,1,,,,,1,,,,,,,,,
LAMBAYEQUE,LAMBAYEQUE,ILLIMO,,,,,,1,,,1,,,,,2,,,,,,,,,
LAMBAYEQUE,LAMBAYEQUE,JAYANCA,,,,,,,,,,1,,1,1,3,,,,,,,,,
LAMBAYEQUE,LAMBAYEQUE,LAMBAYEQUE,2,1,,1,,1,3,,,1,,,1,10,,,,,,,,,
LAMBAYEQUE,LAMBAYEQUE,MOCHUMI,,,,,,,1,,,,,1,,2,,,,,,,,,
LAMBAYEQUE,LAMBAYEQUE,MORROPE,1,1,,,,,1,,,,,,,3,,,,,,,,,
LAMBAYEQUE,LAMBAYEQUE,MOTUPE,,,,,,,,1,1,,,,,2,,,,,,,,,
LAMBAYEQUE,LAMBAYEQUE,OLMOS,1,1,,,1,,,,,,,,,3,,,,,,,,,
LAMBAYEQUE,LAMBAYEQUE,PACORA,,1,,,,,,,,,,1,,2,,,,,,,,,
LAMBAYEQUE,FERREÑAFE,CAÑARIS,,1,,,,,,,,,,,,1,,,,,,,,,
LAMBAYEQUE,FERREÑAFE,PUEBLO NUEVO,,1,,,,,,,,,,,,1,,,,,,,,,
LAMBAYEQUE,FERREÑAFE,FERREÑAFE,,,,,,,,,,,,1,,1,,,,,,,,,
LIMA,LIMA,ANCON,1,2,1,1,,1,,,,1,1,,,8,,,,,,,,,
LIMA,LIMA,ATE,16,16,16,17,11,8,3,4,8,15,17,10,18,159,,,,,,,,,
LIMA,LIMA,BARRANCO,,1,,,1,,1,,2,,,,,5,,,,,,,,,
LIMA,LIMA,BREðA,,,1,,1,,1,,,,,,2,5,,,,,,,,,
LIMA,LIMA,BREÑA,,,,,,,,,2,1,1,1,,5,,,,,,,,,
LIMA,LIMA,CARABAYLLO,4,8,9,10,2,3,1,2,,1,3,1,4,48,,,,,,,,,
LIMA,LIMA,CHACLACAYO,,2,,,1,,,,,,,2,,5,,,,,,,,,
LIMA,LIMA,CHORRILLOS,6,4,3,2,1,3,,1,3,1,3,9,3,39,,,,,,,,,
LIMA,LIMA,CIENEGUILLA,1,,,1,,,,,,1,,1,1,5,,,,,,,,,
LIMA,LIMA,COMAS,11,25,12,12,3,3,,2,2,4,1,3,16,94,,,,,,,,,
LIMA,LIMA,EL AGUSTINO,13,9,10,6,4,7,2,3,6,11,15,32,20,138,,,,,,,,,
LIMA,LIMA,INDEPENDENCIA,3,2,4,1,1,1,,1,5,5,2,3,3,31,,,,,,,,,
LIMA,LIMA,JESUS MARIA,,1,,,1,,,1,,2,,4,1,10,,,,,,,,,
LIMA,LIMA,LA MOLINA,,1,2,,2,,,,,,3,1,1,10,,,,,,,,,
LIMA,LIMA,LA VICTORIA,3,16,6,6,9,10,8,8,8,3,11,8,7,103,,,,,,,,,
LIMA,LIMA,LIMA,9,15,9,11,12,6,4,10,5,3,19,9,16,128,,,,,,,,,
LIMA,LIMA,LOS OLIVOS,1,2,,1,,3,,2,1,6,4,1,2,23,,,,,,,,,
LIMA,LIMA,LURIGANCHO,5,6,4,8,3,2,,,4,,2,1,4,39,,,,,,,,,
LIMA,LIMA,LURIN,,1,1,1,,,,2,1,2,3,4,2,17,,,,,,,,,
LIMA,LIMA,MAGDALENA DEL MAR,,1,1,,,,,,,1,1,,,4,,,,,,,,,
LIMA,LIMA,MIRAFLORES,,,,,,,,,,1,,,,1,,,,,,,,,
LIMA,LIMA,PACHACAMAC,,,2,1,3,,,1,4,1,6,5,5,28,,,,,,,,,
LIMA,LIMA,PUCUSANA,,,,,,,,1,,,1,,,2,,,,,,,,,
LIMA,LIMA,PUEBLO LIBRE,,1,,,1,,1,1,,1,,1,2,8,,,,,,,,,
LIMA,LIMA,PUENTE PIEDRA,8,13,7,5,10,3,4,4,3,5,11,8,6,87,,,,,,,,,
LIMA,LIMA,RIMAC,3,2,6,1,4,,,3,5,7,3,7,3,44,,,,,,,,,
LIMA,LIMA,SAN BARTOLO,,,,,,,,,1,,1,,,2,,,,,,,,,
LIMA,LIMA,SAN BORJA,1,,,2,1,,1,1,,,,,,6,,,,,,,,,
LIMA,LIMA,SAN ISIDRO,,,,,,,,,1,,,,,1,,,,,,,,,
LIMA,LIMA,SAN JUAN DE LURIGANCHO,21,32,31,44,21,10,2,20,31,35,40,34,35,356,,,,,,,,,
LIMA,LIMA,SAN JUAN DE MIRAFLORES,3,6,4,,4,3,,4,5,4,1,11,12,57,,,,,,,,,
LIMA,LIMA,SAN LUIS,,1,1,1,1,1,1,,,2,1,2,1,12,,,,,,,,,
LIMA,LIMA,SAN MARTIN DE PORRES,5,4,4,6,6,7,2,8,11,19,3,12,7,94,,,,,,,,,
LIMA,LIMA,SAN MIGUEL,,,4,1,1,,,1,3,1,2,,,13,,,,,,,,,
LIMA,LIMA,SANTA ANITA,9,16,6,6,4,4,,6,4,2,7,14,12,90,,,,,,,,,
LIMA,LIMA,SANTIAGO DE SURCO,2,3,3,2,2,,1,1,1,5,3,,4,27,,,,,,,,,
LIMA,LIMA,SURQUILLO,,1,2,1,1,1,2,,3,1,,1,1,14,,,,,,,,,
LIMA,LIMA,VILLA EL SALVADOR,3,6,4,3,1,3,,9,10,11,7,4,8,69,,,,,,,,,
LIMA,LIMA,VILLA MARIA DEL TRIUNFO,3,,3,3,,3,1,3,4,2,5,6,6,39,,,,,,,,,
LIMA,BARRANCA,BARRANCA,,,6,5,1,,,1,,,,,3,16,,,,,,,,,
LIMA,BARRANCA,PARAMONGA,,,1,1,2,1,1,,,,,,,6,,,,,,,,,
LIMA,BARRANCA,PATIVILCA,,,1,,,,,,,,,,,1,,,,,,,,,
LIMA,BARRANCA,SUPE,,,,1,,,,,,,,,2,3,,,,,,,,,
LIMA,BARRANCA,SUPE PUERTO,,,,2,,,,,,,,,,2,,,,,,,,,
LIMA,HUAROCHIRI,HUAROCHIRI,,3,,,,,,,,1,,2,,6,,,,,,,,,
LIMA,HUAROCHIRI,RICARDO PALMA,,1,,,,,,,,,,,,1,,,,,,,,,
LIMA,HUAROCHIRI,SAN ANTONIO,,,,,,,,,1,1,,1,2,5,,,,,,,,,
LIMA,HUAROCHIRI,SAN BARTOLOME,,1,,,,,,,,,,,1,2,,,,,,,,,
LIMA,HUAURA,HUACHO,1,,,,,1,,,,1,,,1,4,,,,,,,,,
LIMA,HUAURA,HUALMAY,,,,,,,,,3,,,,,3,,,,,,,,,
LIMA,HUAURA,HUAURA,1,,,,,,1,,1,,,,,3,,,,,,,,,
LIMA,HUAURA,SANTA MARIA,,,,,,,,,1,,,,,1,,,,,,,,,
LIMA,HUAURA,VEGUETA,,,,,,,,,1,,,,,1,,,,,,,,,
LIMA,HUARAL,ATAVILLOS BAJO,,,,,,,,,,1,,,,1,,,,,,,,,
LIMA,HUARAL,CHANCAY,,,,1,,,1,,,2,,3,,7,,,,,,,,,
LIMA,HUARAL,HUARAL,2,,1,,,,,,,,,,,3,,,,,,,,,
LIMA,CAÑETE,MALA,,1,3,,,,2,,,,,,,6,,,,,,,,,
LIMA,CAÑETE,QUILMANA,,,,2,,,,,,,,,1,3,,,,,,,,,
LIMA,CAÑETE,SAN VICENTE DE CAÑETE,,,1,,,2,,,4,2,,,2,11,,,,,,,,,
LIMA,CANTA,CANTA,,2,,1,,,,,,,,,,3,,,,,,,,,
LIMA,CANTA,HUAMANTANGA,,,,1,,,,,,,,,,1,,,,,,,,,
LIMA,CAJATAMBO,GORGOR,,,,,,,,1,,,,,,1,,,,,,,,,
LIMA,CAÑETE,ASIA,,,,,,,,,,1,,,,1,,,,,,,,,
LIMA,CAÑETE,CHILCA,,,,,,,,,,,1,2,,3,,,,,,,,,
LIMA,CAÑETE,IMPERIAL,1,1,,,,,1,,,,1,,,4,,,,,,,,,
LIMA,CAÑETE,LUNAHUANA,,,,,,,,,1,,,,,1,,,,,,,,,
LIMA,CAÑETE,NUEVO IMPERIAL,1,,,,,,,,1,,,,1,3,,,,,,,,,
LIMA,CAÑETE,PACARAN,,,,,,,,,1,,,,,1,,,,,,,,,
LORETO,MAYNAS,ALTO NANAY,,,1,,1,,,,1,,,,,3,,,,,,,,,
LORETO,MAYNAS,BELEN,,,3,,3,1,,1,,,,,,8,,,,,,,,,
LORETO,MAYNAS,FERNANDO LORES,,,,,,,,,,1,,,,1,,,,,,,,,
LORETO,MAYNAS,IQUITOS,2,,6,1,,3,,1,3,1,,,1,18,,,,,,,,,
LORETO,MAYNAS,MAZAN,,,,,,,,1,,,,,,1,,,,,,,,,
LORETO,MAYNAS,PUNCHANA,2,,,1,,,1,8,3,2,,2,,19,,,,,,,,,
LORETO,MAYNAS,SAN JUAN BAUTISTA,,1,8,3,,1,,,2,2,1,,,18,,,,,,,,,
LORETO,ALTO AMAZONAS,BALSAPUERTO,,,,,,,1,,,,,,,1,,,,,,,,,
LORETO,ALTO AMAZONAS,LAGUNAS,1,,,,,,,1,,,,,1,3,,,,,,,,,
LORETO,ALTO AMAZONAS,SANTA CRUZ,,,,,,,,,,,,1,,1,,,,,,,,,
LORETO,ALTO AMAZONAS,TENIENTE CESAR LOPEZ ROJAS,,,,,1,,,,,,,,,1,,,,,,,,,
LORETO,ALTO AMAZONAS,YURIMAGUAS,6,8,7,3,2,2,2,1,2,,,,15,48,,,,,,,,,
LORETO,DATEM DEL MARAÑON,BARRANCA,,,,1,,,,2,,,,,2,5,,,,,,,,,
LORETO,DATEM DEL MARAÑON,MANSERICHE,,,,,,,,,,,,,1,1,,,,,,,,,
LORETO,UCAYALI,CONTAMANA,,,,,3,,,,,,,,,3,,,,,,,,,
LORETO,UCAYALI,VARGAS GUERRA,,3,,,,,,,,,,,,3,,,,,,,,,
LORETO,LORETO,NAUTA,,,,,,,,,1,1,,,,2,,,,,,,,,
LORETO,LORETO,TIGRE,,,,,,,,,1,1,,,,2,,,,,,,,,
LORETO,PUTUMAYO,PUTUMAYO,,,,,,,,,,1,,,,1,,,,,,,,,
LORETO,REQUENA,ALTO TAPICHE,,,,,,,,,1,,,,,1,,,,,,,,,
LORETO,REQUENA,REQUENA,,,,,,,,,1,1,,,,2,,,,,,,,,
LORETO,MARISCAL RAMON CASTILLA,RAMON CASTILLA,,,,,,,,,1,,,,,1,,,,,,,,,
LORETO,MARISCAL RAMON CASTILLA,YAVARI,,,1,,,,,,,1,,,,2,,,,,,,,,
MADRE DE DIOS,TAMBOPATA,INAMBARI,,,,,1,1,,1,2,5,,,,10,,,,,,,,,
MADRE DE DIOS,TAMBOPATA,LAS PIEDRAS,,1,,,,,,,2,3,,,1,7,,,,,,,,,
MADRE DE DIOS,TAMBOPATA,TAMBOPATA,,,,,2,,1,11,26,34,2,,,76,,,,,,,,,
MADRE DE DIOS,MANU,HUEPETUHE,,,,,,,,,1,2,,,,3,,,,,,,,,
MADRE DE DIOS,MANU,MADRE DE DIOS,,,,,,,,,,2,,,,2,,,,,,,,,
MADRE DE DIOS,TAHUAMANU,IBERIA,,,,,,,,,,,1,,,1,,,,,,,,,
MOQUEGUA,MARISCAL NIETO,MOQUEGUA,1,,2,1,1,,,,,,,,2,7,,,,,,,,,
MOQUEGUA,ILO,ILO,2,1,2,3,4,1,,1,,,,,1,15,,,,,,,,,
PASCO,OXAPAMPA,CHONTABAMBA,,,1,1,,,,,,,,,,2,,,,,,,,,
PASCO,OXAPAMPA,CONSTITUCION,,,,,,,,1,1,,,,,2,,,,,,,,,
PASCO,OXAPAMPA,HUANCABAMBA,,,,1,,,,,,,,,,1,,,,,,,,,
PASCO,OXAPAMPA,OXAPAMPA,,2,,,1,,1,1,,,,,,5,,,,,,,,,
PASCO,OXAPAMPA,PALCAZU,,1,,,,1,1,3,,1,1,,,8,,,,,,,,,
PASCO,OXAPAMPA,POZUZO,,,1,,1,1,1,,1,1,1,,,7,,,,,,,,,
PASCO,OXAPAMPA,PUERTO BERMUDEZ,1,2,2,,1,1,2,7,3,,1,2,2,24,,,,,,,,,
PASCO,OXAPAMPA,VILLA RICA,2,2,,,,,,,,,2,,2,8,,,,,,,,,
PASCO,PASCO,CHAUPIMARCA,,,,1,,,,,,,,2,1,4,,,,,,,,,
PASCO,PASCO,HUARIACA,,2,,,,,,,2,,1,,,5,,,,,,,,,
PASCO,PASCO,HUAYLLAY,,,,,,,,,,1,,,1,2,,,,,,,,,
PASCO,PASCO,PALLANCHACRA,,,,,,,,,,,,1,,1,,,,,,,,,
PASCO,PASCO,PAUCARTAMBO,,,1,,,,,,,,,,,1,,,,,,,,,
PASCO,PASCO,SIMON BOLIVAR,,,,,,,,,,,,,1,1,,,,,,,,,
PASCO,PASCO,YANACANCHA,,,,,,,,,,1,,,1,2,,,,,,,,,
PASCO,DANIEL ALCIDES CARRION,CHACAYAN,,,,,,,,,,,,,2,2,,,,,,,,,
PASCO,DANIEL ALCIDES CARRION,YANAHUANCA,,,,,,1,,1,,,,,,2,,,,,,,,,
PIURA,PIURA,CASTILLA,,,,,,2,1,,1,,,,,4,,,,,,,,,
PIURA,PIURA,CATACAOS,,,1,,1,,,,,,,,,2,,,,,,,,,
PIURA,PIURA,LAS LOMAS,,,,,,,,,,1,,,,1,,,,,,,,,
PIURA,PIURA,PIURA,,,,4,1,,,,1,1,,,,7,,,,,,,,,
PIURA,PIURA,TAMBO GRANDE,,,,,,,,,,1,,,,1,,,,,,,,,
PIURA,PIURA,VEINTISEIS DE OCTUBRE,,,,,,,,,1,,,,,1,,,,,,,,,
PIURA,SULLANA,BELLAVISTA,,,,,,,,1,2,,,,1,4,,,,,,,,,
PIURA,SULLANA,MARCAVELICA,,,,,,,,1,,,,,,1,,,,,,,,,
PIURA,SULLANA,SULLANA,,,,,,,1,3,3,2,,,,9,,,,,,,,,
PIURA,TALARA,MANCORA,,,,,,,,,,1,,,,1,,,,,,,,,
PIURA,TALARA,PARIÑAS,,,,,,,1,,,2,,,,3,,,,,,,,,
PIURA,MORROPON,CHULUCANAS,,1,,,,1,,,1,1,,,,4,,,,,,,,,
PIURA,MORROPON,MORROPON,,,,,,,,1,,,,,,1,,,,,,,,,
PIURA,SECHURA,BERNAL,,,,,,1,,,,,,,,1,,,,,,,,,
PIURA,SECHURA,RINCONADA LLICUAR,,,1,,,,,,,,,,,1,,,,,,,,,
PIURA,SECHURA,SECHURA,1,,,1,3,1,,,,,,,,6,,,,,,,,,
PIURA,PAITA,COLAN,,1,,,,,,,,,,,,1,,,,,,,,,
PIURA,PAITA,PAITA,,,,,,,2,,2,1,,,,5,,,,,,,,,
PIURA,HUANCABAMBA,CANCHAQUE,,,,,,,,1,,,,,,1,,,,,,,,,
PIURA,AYABACA,AYABACA,,,,,,,,,,,,,1,1,,,,,,,,,
PIURA,AYABACA,MONTERO,,,,,,,,,,,,,1,1,,,,,,,,,
PIURA,AYABACA,SAPILLICA,,,,,,,,,,1,,,,1,,,,,,,,,
PUNO,PUNO,PUNO,,,,,1,,,,,,,,,1,,,,,,,,,
PUNO,CHUCUITO,JULI,,,,,,,,,,1,,,,1,,,,,,,,,
PUNO,SAN ROMAN,JULIACA,3,1,,,1,,1,,,1,,,,7,,,,,,,,,
PUNO,AZANGARO,AZANGARO,,,,,,,,,,2,,,,2,,,,,,,,,
PUNO,AZANGARO,SAN JOSE,,,,,,,,,,1,,,,1,,,,,,,,,
PUNO,SANDIA,SANDIA,1,,1,,,,,,2,1,,,,5,,,,,,,,,
PUNO,CARABAYA,ITUATA,,,,,,,,,,1,,,,1,,,,,,,,,
PUNO,CARABAYA,MACUSANI,,,,1,,,,,,,,,,1,,,,,,,,,
PUNO,CARABAYA,OLLACHEA,,,,1,,,,,,,,,,1,,,,,,,,,
PUNO,LAMPA,LAMPA,,,,,,1,,,,,,,,1,,,,,,,,,
SAN MARTIN,TOCACHE,TOCACHE,,,1,,,,,,,1,,,,2,,,,,,,,,
SAN MARTIN,PICOTA,PICOTA,,,,,,,1,,,,,,3,4,,,,,,,,,
SAN MARTIN,PICOTA,PUCACACA,,,,,,,1,,,,,,,1,,,,,,,,,
SAN MARTIN,LAMAS,ALONSO DE ALVARADO,,,,,,,,,,1,,,,1,,,,,,,,,
SAN MARTIN,LAMAS,CAYNARACHI,,,1,,,,2,,,,,,,3,,,,,,,,,
SAN MARTIN,LAMAS,LAMAS,,,,,,,,,1,,,,,1,,,,,,,,,
SAN MARTIN,MOYOBAMBA,CALZADA,,,,,,,,,,1,,,,1,,,,,,,,,
SAN MARTIN,MOYOBAMBA,MOYOBAMBA,2,,,,,,,1,2,1,,3,1,10,,,,,,,,,
SAN MARTIN,MOYOBAMBA,SORITOR,,1,3,1,1,,,1,1,3,,,,11,,,,,,,,,
SAN MARTIN,MOYOBAMBA,YANTALO,,,,,,,,1,1,,,,,2,,,,,,,,,
SAN MARTIN,MARISCAL CACERES,JUANJUI,3,1,,,,,,,,,1,,,5,,,,,,,,,
SAN MARTIN,MARISCAL CACERES,PAJARILLO,1,1,,,,,,,,,,,,2,,,,,,,,,
SAN MARTIN,SAN MARTIN,CHAZUTA,,2,,,,1,,,1,,,,,4,,,,,,,,,
SAN MARTIN,SAN MARTIN,CHIPURANA,,,1,,,,,,,,,,,1,,,,,,,,,
SAN MARTIN,SAN MARTIN,HUIMBAYOC,,,,1,,,,,,,,,,1,,,,,,,,,
SAN MARTIN,SAN MARTIN,JUAN GUERRA,,,,,,,,,1,,,,,1,,,,,,,,,
SAN MARTIN,SAN MARTIN,LA BANDA DE SHILCAYO,,,,,,,1,,3,,,,,4,,,,,,,,,
SAN MARTIN,SAN MARTIN,PAPAPLAYA,,,,1,,,,,,,,,,1,,,,,,,,,
SAN MARTIN,SAN MARTIN,SAUCE,,,,,,,1,,,,,,,1,,,,,,,,,
SAN MARTIN,SAN MARTIN,TARAPOTO,1,1,,,,,,,2,,,,,4,,,,,,,,,
SAN MARTIN,BELLAVISTA,BELLAVISTA,,,,,,,,,,1,,,,1,,,,,,,,,
SAN MARTIN,HUALLAGA,PISCOYACU,,,,,1,1,,,,,,,,2,,,,,,,,,
SAN MARTIN,HUALLAGA,SACANCHE,,,,,,1,,,,,,,,1,,,,,,,,,
SAN MARTIN,HUALLAGA,SAPOSOA,,,,,2,1,,,,2,,,1,6,,,,,,,,,
SAN MARTIN,EL DORADO,AGUA BLANCA,,,,,1,,,,,,1,,,2,,,,,,,,,
SAN MARTIN,EL DORADO,SAN JOSE DE SISA,1,,,,,1,4,3,1,,,,3,13,,,,,,,,,
SAN MARTIN,EL DORADO,SAN MARTIN,,,,,,,,,1,,,,,1,,,,,,,,,
SAN MARTIN,EL DORADO,SANTA ROSA,,,,,1,,,1,,,,,,2,,,,,,,,,
SAN MARTIN,EL DORADO,SHATOJA,,,,,,,,1,,,,,,1,,,,,,,,,
SAN MARTIN,RIOJA,AWAJUN,2,,,1,,,,,,1,,1,1,6,,,,,,,,,
SAN MARTIN,RIOJA,ELIAS SOPLIN VARGAS,,,,,,,,,,1,,,,1,,,,,,,,,
SAN MARTIN,RIOJA,NUEVA CAJAMARCA,,,,,,1,,,2,,,1,1,5,,,,,,,,,
SAN MARTIN,RIOJA,PARDO MIGUEL,,,,,,1,,,,,,,,1,,,,,,,,,
SAN MARTIN,RIOJA,RIOJA,,,,,,,,,,1,,1,1,3,,,,,,,,,
SAN MARTIN,RIOJA,YURACYACU,1,,,,,,,,,,,,,1,,,,,,,,,
TACNA,TACNA,ALTO DE LA ALIANZA,,,,1,,,,,,,,,,1,,,,,,,,,
TACNA,TACNA,CIUDAD NUEVA,,,1,1,,,,,,,,,,2,,,,,,,,,
TACNA,TACNA,CORONEL GREGORIO ALBARRACIN LANCHIPA,,,1,,1,,,,,,,,,2,,,,,,,,,
TACNA,TACNA,TACNA,,1,,3,,,,,1,,,,,5,,,,,,,,,
TUMBES,TUMBES,CORRALES,,,,,,,1,,,1,1,2,1,6,,,,,,,,,
TUMBES,TUMBES,LA CRUZ,,,,,1,,,1,,,,,,2,,,,,,,,,
TUMBES,TUMBES,SAN JACINTO,,,,,,,,,,,,1,,1,,,,,,,,,
TUMBES,TUMBES,TUMBES,1,,2,1,1,2,,4,2,3,5,4,6,31,,,,,,,,,
TUMBES,ZARUMILLA,AGUAS VERDES,,1,,,2,1,2,1,,,,,1,8,,,,,,,,,
TUMBES,ZARUMILLA,ZARUMILLA,,,,2,,,1,,,,1,,1,5,,,,,,,,,
TUMBES,CONTRALMIRANTE VILLAR,CANOAS DE PUNTA SAL,,,,,,,,,,,,1,,1,,,,,,,,,
TUMBES,CONTRALMIRANTE VILLAR,ZORRITOS,,,,,,,,1,,,,,,1,,,,,,,,,
UCAYALI,CORONEL PORTILLO,CALLERIA,6,18,8,1,2,,1,,4,6,,,1,47,,,,,,,,,
UCAYALI,CORONEL PORTILLO,CAMPOVERDE,,2,,,,,,,,,,,,2,,,,,,,,,
UCAYALI,CORONEL PORTILLO,IPARIA,,,,,,,,1,,1,,,,2,,,,,,,,,
UCAYALI,CORONEL PORTILLO,MANANTAY,,7,5,,1,1,1,,3,3,1,,1,23,,,,,,,,,
UCAYALI,CORONEL PORTILLO,MASISEA,,1,,,,,,,,,,,,1,,,,,,,,,
UCAYALI,CORONEL PORTILLO,YARINACOCHA,5,13,2,6,,,,,,,,,,26,,,,,,,,,
UCAYALI,PADRE ABAD,CURIMANA,,,,,2,,,,,,,,,2,,,,,,,,,
UCAYALI,PADRE ABAD,PADRE ABAD,,,,1,1,,1,2,,,1,,,6,,,,,,,,,
UCAYALI,ATALAYA,RAIMONDI,,,,,,,,,,,,,9,9,,,,,,,,,
UCAYALI,ATALAYA,RAYMONDI,1,2,3,3,5,2,11,10,5,8,3,11,,64,,,,,,,,,
UCAYALI,ATALAYA,SEPAHUA,,,,,,2,1,2,7,,,,,12,,,,,,,,,
UCAYALI,ATALAYA,TAHUANIA,,,,,,3,,1,,3,,1,,8,,,,,,,,,
UCAYALI,ATALAYA,YURUA,,,1,,,,,,,,,,,1,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
