departamento,provincia,distrito,D,E,F,G,H,I,J,K,L,total
PASCO,PASCO,YANACANCHA,,,,1,,1,,,1,3
PASCO,DANIEL ALCIDES CARRION,CHACAYAN,,,,,,,,,2,2
PASCO,DANIEL ALCIDES CARRION,YANAHUANCA,,1,1,1,,,,,,3
PIURA,PIURA,CASTILLA,,2,1,,1,,,,,4
PIURA,PIURA,CATACAOS,1,,,,,,,,,1
PIURA,PIURA,LA UNION,,,,,1,,,,,1
PIURA,PIURA,LAS LOMAS,,,,,,1,,,,1
PIURA,PIURA,PIURA,1,1,,,1,1,,,,4
PIURA,PIURA,TAMBO GRANDE,,,,,,1,,,,1
PIURA,PIURA,VEINTISEIS DE OCTUBRE,,,,,1,,,,,1
PIURA,SULLANA,BELLAVISTA,,,,1,2,,,,1,4
PIURA,SULLANA,MARCAVELICA,,,,1,,,,,,1
PIURA,SULLANA,SULLANA,,,1,3,3,2,,,,9
PIURA,TALARA,MANCORA,,,,,,1,,,,1
PIURA,TALARA,PARIÑAS,,,1,,,2,,,,3
PIURA,MORROPON,CHULUCANAS,,1,,,1,1,,,,3
PIURA,MORROPON,MORROPON,,,,1,,,,,,1
PIURA,SECHURA,BERNAL,,1,,,,,,,,1
PIURA,SECHURA,SECHURA,3,1,,,,,,,,4
PIURA,PAITA,PAITA,,,2,,2,1,,,,5
PIURA,HUANCABAMBA,CANCHAQUE,,,,1,,,,,,1
PIURA,AYABACA,AYABACA,,,,,,,,,2,2
PIURA,AYABACA,MONTERO,,,,,,,,,2,2
PIURA,AYABACA,SAPILLICA,,,,,,1,,,,1
PUNO,PUNO,PUNO,1,,,,,,,,,1
PUNO,CHUCUITO,JULI,,,,,,1,,,,1
PUNO,SAN ROMAN,JULIACA,1,,1,,,2,,,,4
PUNO,AZANGARO,AZANGARO,,,,,,2,,,,2
PUNO,AZANGARO,SAN JOSE,,,,,,1,,,,1
PUNO,SANDIA,ALTO INAMBARI,,,,,1,,,,,1
PUNO,SANDIA,SANDIA,,,,,3,1,,,,4
PUNO,CARABAYA,ITUATA,,,,,,1,,,,1
PUNO,LAMPA,LAMPA,,1,,,,,,,,1
SAN MARTIN,TOCACHE,TOCACHE,,,,,,1,,,,1
SAN MARTIN,PICOTA,PICOTA,,,1,,,,1,,3,5
SAN MARTIN,PICOTA,PUCACACA,,,1,,,,,,,1
SAN MARTIN,LAMAS,ALONSO DE ALVARADO,,,,,,1,,,,1
SAN MARTIN,LAMAS,CAYNARACHI,,,2,,,,,,,2
SAN MARTIN,LAMAS,LAMAS,,,,,1,,,,,1
SAN MARTIN,MOYOBAMBA,CALZADA,,,,,,1,,,,1
SAN MARTIN,MOYOBAMBA,MOYOBAMBA,,,,1,2,1,1,2,1,8
SAN MARTIN,MOYOBAMBA,SORITOR,1,,,1,1,3,,,,6
SAN MARTIN,MOYOBAMBA,YANTALO,,,,1,1,,,,,2
SAN MARTIN,MARISCAL CACERES,JUANJUI,,,,,,,1,,,1
SAN MARTIN,SAN MARTIN,CHAZUTA,,1,,,1,,,,,2
SAN MARTIN,SAN MARTIN,JUAN GUERRA,,,,,1,,,,,1
SAN MARTIN,SAN MARTIN,LA BANDA DE SHILCAYO,,,1,,3,,,,,4
SAN MARTIN,SAN MARTIN,SAUCE,,,1,,,,,,,1
SAN MARTIN,SAN MARTIN,TARAPOTO,,,,,2,,,,,2
SAN MARTIN,BELLAVISTA,BELLAVISTA,,,,,,1,,,,1
SAN MARTIN,HUALLAGA,PISCOYACU,1,1,,,,,,,,2
SAN MARTIN,HUALLAGA,SACANCHE,,1,,,,,,,,1
SAN MARTIN,HUALLAGA,SAPOSOA,2,1,,,,2,,,1,6
SAN MARTIN,EL DORADO,AGUA BLANCA,1,,,,,,1,,,2
SAN MARTIN,EL DORADO,SAN JOSE DE SISA,,1,4,3,1,,,,3,12
SAN MARTIN,EL DORADO,SAN MARTIN,,,,,1,,,,,1
SAN MARTIN,EL DORADO,SANTA ROSA,1,,,1,,,,,,2
SAN MARTIN,EL DORADO,SHATOJA,,,,1,,,,,,1
SAN MARTIN,RIOJA,AWAJUN,,,,,,1,,1,1,3
SAN MARTIN,RIOJA,ELIAS SOPLIN VARGAS,,,,,,1,,,,1
SAN MARTIN,RIOJA,NUEVA CAJAMARCA,,1,,,2,,,1,1,5
SAN MARTIN,RIOJA,PARDO MIGUEL,,1,,,,,,,,1
SAN MARTIN,RIOJA,RIOJA,,,,,,1,,1,1,3
TACNA,TACNA,CIUDAD NUEVA,,1,,,,,,,,1
TACNA,TACNA,CORONEL GREGORIO ALBARRACIN LANCHIPA,1,,,,,,,,,1
TACNA,TACNA,TACNA,,,,,1,,,,,1
TUMBES,TUMBES,CORRALES,,,1,,,1,1,2,1,6
TUMBES,TUMBES,LA CRUZ,1,,,1,,,,,,2
TUMBES,TUMBES,SAN JACINTO,,,,,,,,1,,1
TUMBES,TUMBES,TUMBES,1,2,,4,2,3,5,4,6,27
TUMBES,ZARUMILLA,AGUAS VERDES,2,1,2,1,,,,,1,7
TUMBES,ZARUMILLA,ZARUMILLA,,,1,,,,1,,1,3
TUMBES,CONTRALMIRANTE VILLAR,CANOAS DE PUNTA SAL,,,,,,,,1,,1
TUMBES,CONTRALMIRANTE VILLAR,ZORRITOS,,,,1,,,,,,1
UCAYALI,CORONEL PORTILLO,CALLERIA,2,,1,,4,6,,,1,14
UCAYALI,CORONEL PORTILLO,IPARIA,,,,1,,1,,,,2
UCAYALI,CORONEL PORTILLO,MANANTAY,1,1,1,,3,3,1,,1,11
UCAYALI,PADRE ABAD,CURIMANA,2,,,,,,,,,2
UCAYALI,PADRE ABAD,PADRE ABAD,1,,1,2,,,1,,,5
UCAYALI,ATALAYA,RAIMONDI,,,,,6,8,3,11,9,37
UCAYALI,ATALAYA,RAYMONDI,5,2,11,10,,,,,,28
UCAYALI,ATALAYA,SEPAHUA,,2,1,2,7,,,,1,13
UCAYALI,ATALAYA,TAHUANIA,,3,,1,,3,,1,,8
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
