departamento,provincia,distrito,D,E,F,G,H,I,J,K,total
ICA,PALPA,PALPA,,1,2,7,4,,,,14
ICA,PALPA,RIO GRANDE,,,,,1,,,,1
JUNIN,SATIPO,COVIRIALI,,,2,,1,,,2,5
JUNIN,SATIPO,LLAYLLA,,,2,3,3,2,1,,11
JUNIN,SATIPO,MAZAMARI,,1,10,14,13,16,14,9,77
JUNIN,SATIPO,PAMPA HERMOSA,,,,1,,,,1,2
JUNIN,SATIPO,PANGOA,2,8,14,13,14,4,10,11,76
JUNIN,SATIPO,RIO NEGRO,2,2,9,6,8,8,5,4,44
JUNIN,SATIPO,RIO TAMBO,1,5,6,6,9,10,8,11,56
JUNIN,SATIPO,SATIPO,16,7,4,5,10,4,13,5,64
JUNIN,SATIPO,VIZCATAN DEL ENE,,,,,,2,1,,3
JUNIN,TARMA,ACOBAMBA,,,,,,,1,,1
JUNIN,TARMA,HUARICOLCA,,,,,,1,,,1
JUNIN,TARMA,PALCAMAYO,,,,,1,,,,1
JUNIN,TARMA,TARMA,,,,,,3,3,1,7
JUNIN,HUANCAYO,CHILCA,,1,5,3,7,6,14,7,43
JUNIN,HUANCAYO,CHONGOS ALTO,,,,,,1,,,1
JUNIN,HUANCAYO,CHUPURO,,,1,,,1,,,2
JUNIN,HUANCAYO,CULLHUAS,,,,1,,,,,1
JUNIN,HUANCAYO,EL TAMBO,,,6,,4,6,6,10,32
JUNIN,HUANCAYO,HUACRAPUQUIO,,,,,,,1,,1
JUNIN,HUANCAYO,HUANCAN,,1,1,,1,,3,5,11
JUNIN,HUANCAYO,HUANCAYO,,5,3,5,4,4,8,5,34
JUNIN,HUANCAYO,HUAYUCACHI,,,,1,1,1,,,3
JUNIN,HUANCAYO,INGENIO,,2,1,,1,1,,,5
JUNIN,HUANCAYO,PARIAHUANCA,,,1,,,,,,1
JUNIN,HUANCAYO,PILCOMAYO,,,3,,,,2,1,6
JUNIN,HUANCAYO,SAN AGUSTIN,,,,,,1,1,1,3
JUNIN,HUANCAYO,SAN JERONIMO DE TUNAN,,1,1,,,1,2,1,6
JUNIN,HUANCAYO,SANTO DOMINGO DE ACOBAMBA,,,,,1,,,,1
JUNIN,HUANCAYO,SAPALLANGA,,1,,1,,2,,4,8
JUNIN,HUANCAYO,SICAYA,,,,,,2,,,2
JUNIN,CHANCHAMAYO,CHANCHAMAYO,,4,6,4,8,9,14,9,54
JUNIN,CHANCHAMAYO,PERENE,,10,8,9,17,28,31,33,136
JUNIN,CHANCHAMAYO,PICHANAQUI,,8,6,12,14,25,21,26,112
JUNIN,CHANCHAMAYO,SAN LUIS DE SHUARO,,1,,,,1,,,2
JUNIN,CHANCHAMAYO,SAN RAMON,,4,1,5,2,3,9,8,32
JUNIN,CHANCHAMAYO,VITOC,,,,,1,,,,1
JUNIN,YAULI,LA OROYA,,,,,2,1,,,3
JUNIN,YAULI,SANTA BARBARA DE CARHUACAYAN,,,,,1,,,,1
JUNIN,YAULI,SANTA ROSA DE SACCO,,,,1,1,,,,2
JUNIN,CONCEPCION,ANDAMARCA,,,1,,,,,,1
JUNIN,CONCEPCION,CHAMBARA,,,,,,,1,,1
JUNIN,CONCEPCION,COMAS,,,,,,,,1,1
JUNIN,CONCEPCION,CONCEPCION,,1,,1,1,,1,1,5
JUNIN,CONCEPCION,MARISCAL CASTILLA,,,,,,,,1,1
JUNIN,CONCEPCION,MATAHUASI,,,1,,1,1,,,3
JUNIN,CONCEPCION,ORCOTUNA,,,,,,2,,,2
JUNIN,JAUJA,APATA,,,1,,,,1,,2
JUNIN,JAUJA,HUAMALI,,,1,,1,,,,2
JUNIN,JAUJA,JAUJA,,,,,2,3,,,5
JUNIN,JAUJA,MASMA,,2,,,1,1,1,1,6
JUNIN,JAUJA,MOLINOS,,,,1,,,,1,2
JUNIN,JAUJA,MONOBAMBA,,,1,,,,,,1
JUNIN,JAUJA,MUQUIYAUYO,,,,,,,1,,1
JUNIN,JAUJA,SAUSA,,,,,1,,,,1
JUNIN,JAUJA,YAUYOS,,,3,1,1,3,,1,9
JUNIN,JUNIN,CARHUAMAYO,,,2,,,,,1,3
JUNIN,JUNIN,ULCUMAYO,,,,1,,,,,1
JUNIN,CHUPACA,AHUAC,,,1,,1,,,,2
JUNIN,CHUPACA,CHONGOS BAJO,,,,,,,,1,1
JUNIN,CHUPACA,CHUPACA,,1,,1,2,2,2,4,12
JUNIN,CHUPACA,HUACHAC,,,,,,1,,,1
JUNIN,CHUPACA,HUAMANCACA CHICO,,,,,1,,,1,2
JUNIN,CHUPACA,TRES DE DICIEMBRE,,,1,,1,,,,2
LA LIBERTAD,ASCOPE,ASCOPE,,,,,,,1,,1
LA LIBERTAD,ASCOPE,CASA GRANDE,1,2,,,3,,,1,7
LA LIBERTAD,ASCOPE,CHICAMA,,2,,,1,,1,1,5
LA LIBERTAD,ASCOPE,CHOCOPE,,,,,,,,2,2
LA LIBERTAD,ASCOPE,MAGDALENA DE CAO,,1,1,,,,,,2
LA LIBERTAD,ASCOPE,PAIJAN,,2,1,,1,,,,4
LA LIBERTAD,ASCOPE,RAZURI,,1,,,1,,,,2
LA LIBERTAD,ASCOPE,SANTIAGO DE CAO,,1,1,,1,,1,,4
LA LIBERTAD,TRUJILLO,EL PORVENIR,1,21,14,4,11,2,3,10,66
LA LIBERTAD,TRUJILLO,FLORENCIA DE MORA,,3,8,7,6,7,8,6,45
LA LIBERTAD,TRUJILLO,HUANCHACO,3,,,5,2,4,5,1,20
LA LIBERTAD,TRUJILLO,LA ESPERANZA,5,29,15,11,28,5,17,16,126
LA LIBERTAD,TRUJILLO,LAREDO,1,5,6,5,1,1,,5,24
LA LIBERTAD,TRUJILLO,MOCHE,,1,4,3,2,1,,1,12
LA LIBERTAD,TRUJILLO,POROTO,,1,,1,,,,,2
LA LIBERTAD,TRUJILLO,SALAVERRY,,2,1,2,1,1,1,1,9
LA LIBERTAD,TRUJILLO,TRUJILLO,3,6,14,17,11,4,16,17,88
LA LIBERTAD,TRUJILLO,VICTOR LARCO HERRERA,,,3,4,1,,3,4,15
LA LIBERTAD,PACASMAYO,GUADALUPE,,,,,,1,,2,3
LA LIBERTAD,PACASMAYO,PACASMAYO,1,,3,,2,,1,2,9
LA LIBERTAD,PACASMAYO,SAN JOSE,,,,,,,1,,1
LA LIBERTAD,PACASMAYO,SAN PEDRO DE LLOC,,1,1,,,,2,2,6
LA LIBERTAD,CHEPEN,CHEPEN,,,,2,2,2,3,1,10
LA LIBERTAD,CHEPEN,PACANGA,,,,,1,1,,,2
LA LIBERTAD,CHEPEN,PUEBLO NUEVO,,,,,,,2,,2
LA LIBERTAD,VIRU,CHAO,,1,,2,8,8,7,9,35
LA LIBERTAD,VIRU,GUADALUPITO,,,,,1,1,,,2
LA LIBERTAD,VIRU,VIRU,,,2,1,6,2,11,8,30
LA LIBERTAD,GRAN CHIMU,CASCAS,1,,,,,,1,,2
LA LIBERTAD,GRAN CHIMU,LUCMA,,,,1,,,,,1
LA LIBERTAD,GRAN CHIMU,SAYAPULLO,,,,,,,,1,1
LA LIBERTAD,PATAZ,BULDIBUYO,,,,,1,,,,1
LA LIBERTAD,PATAZ,PARCOY,,1,,,,2,,2,5
LA LIBERTAD,PATAZ,PATAZ,,,,,,,3,2,5
LA LIBERTAD,PATAZ,TAYABAMBA,,2,,1,,,1,,4
LA LIBERTAD,SANCHEZ CARRION,CHUGAY,,,,,1,,,,1
LA LIBERTAD,SANCHEZ CARRION,HUAMACHUCO,3,,,,1,2,1,3,10
LA LIBERTAD,SANCHEZ CARRION,MARCABAL,,,,,,,1,,1
LA LIBERTAD,SANCHEZ CARRION,SARIN,,,,,1,,,,1
LA LIBERTAD,OTUZCO,HUARANCHAL,,,,,,1,,1,2
LA LIBERTAD,OTUZCO,OTUZCO,,,1,1,,,,1,3
LA LIBERTAD,OTUZCO,SALPO,,,1,,,,,,1
LA LIBERTAD,OTUZCO,SINSICAP,1,,,1,,,,,2
LA LIBERTAD,OTUZCO,USQUIL,,1,1,1,,,,1,4
LA LIBERTAD,SANTIAGO DE CHUCO,QUIRUVILCA,,,,,1,,1,,2
LA LIBERTAD,SANTIAGO DE CHUCO,SANTIAGO DE CHUCO,,,,,,,,1,1
LA LIBERTAD,JULCAN,CALAMARCA,,,,,,,,1,1
LA LIBERTAD,JULCAN,JULCAN,,,,1,,,1,,2
LAMBAYEQUE,CHICLAYO,CAYALTI,,1,,,,,,1,2
LAMBAYEQUE,CHICLAYO,CHICLAYO,,4,2,2,8,2,2,2,22
LAMBAYEQUE,CHICLAYO,CHONGOYAPE,,,1,,,,2,,3
LAMBAYEQUE,CHICLAYO,ETEN,,,,,1,,,,1
LAMBAYEQUE,CHICLAYO,JOSE LEONARDO ORTIZ,,5,3,,8,1,,,17
LAMBAYEQUE,CHICLAYO,LA VICTORIA,,,,2,3,,,1,6
LAMBAYEQUE,CHICLAYO,LAGUNAS,,,,,1,,,,1
LAMBAYEQUE,CHICLAYO,NUEVA ARICA,,1,,,,,,,1
LAMBAYEQUE,CHICLAYO,OYOTUN,,,,,1,,,1,2
LAMBAYEQUE,CHICLAYO,PATAPO,,,,,1,,,1,2
LAMBAYEQUE,CHICLAYO,PIMENTEL,,,,3,,,,,3
LAMBAYEQUE,CHICLAYO,POMALCA,,1,,,,,,,1
LAMBAYEQUE,CHICLAYO,REQUE,,,,,,1,,,1
LAMBAYEQUE,CHICLAYO,SANTA ROSA,,,,1,,,,,1
LAMBAYEQUE,LAMBAYEQUE,CHOCHOPE,,,,1,,,,,1
LAMBAYEQUE,LAMBAYEQUE,ILLIMO,,,,1,,,1,1,3
LAMBAYEQUE,LAMBAYEQUE,JAYANCA,,,1,,1,,1,1,4
LAMBAYEQUE,LAMBAYEQUE,LAMBAYEQUE,,2,1,,2,1,,2,8
LAMBAYEQUE,LAMBAYEQUE,MOCHUMI,,4,,,,,1,1,6
LAMBAYEQUE,LAMBAYEQUE,MORROPE,,1,,,,,,1,2
LAMBAYEQUE,LAMBAYEQUE,MOTUPE,,1,7,3,1,2,,1,15
LAMBAYEQUE,LAMBAYEQUE,OLMOS,1,1,,,1,,1,1,5
LAMBAYEQUE,LAMBAYEQUE,SALAS,,,,,,1,,,1
LAMBAYEQUE,LAMBAYEQUE,SAN JOSE,,,,,1,,,,1
LAMBAYEQUE,FERREÑAFE,CAÑARIS,,,,,1,,,,1
LAMBAYEQUE,FERREÑAFE,FERREÑAFE,,,,,,,1,1,2
LAMBAYEQUE,FERREÑAFE,MANUEL ANTONIO MESONES MURO,,,1,,,,,,1
LAMBAYEQUE,FERREÑAFE,PUEBLO NUEVO,,,,,1,,,,1
LIMA,LIMA,ANCON,,3,,5,5,7,4,6,30
LIMA,LIMA,ATE,1,3,9,28,40,40,65,72,258
LIMA,LIMA,BARRANCO,,,,4,1,,2,1,8
LIMA,LIMA,BREÑA,,,1,2,8,4,7,8,30
LIMA,LIMA,CARABAYLLO,5,19,25,20,34,37,26,42,208
LIMA,LIMA,CHACLACAYO,,,,2,2,1,2,4,11
LIMA,LIMA,CHORRILLOS,5,13,9,28,22,27,27,37,168
LIMA,LIMA,CIENEGUILLA,,,2,3,4,1,1,2,13
LIMA,LIMA,COMAS,1,36,19,56,105,62,52,81,412
LIMA,LIMA,EL AGUSTINO,2,,9,31,34,31,37,46,190
LIMA,LIMA,INDEPENDENCIA,,11,6,24,19,15,20,19,114
LIMA,LIMA,JESUS MARIA,,,1,2,4,,5,,12
LIMA,LIMA,LA MOLINA,,,2,2,,4,1,2,11
LIMA,LIMA,LA VICTORIA,4,1,13,17,22,28,34,33,152
LIMA,LIMA,LIMA,10,3,18,26,45,45,49,46,242
LIMA,LIMA,LINCE,,,,,3,,1,2,6
LIMA,LIMA,LOS OLIVOS,4,8,5,22,38,28,29,28,162
LIMA,LIMA,LURIGANCHO,2,,,7,13,20,9,18,69
LIMA,LIMA,LURIN,1,,3,5,2,5,7,5,28
LIMA,LIMA,MAGDALENA DEL MAR,,,,3,2,3,,,8
LIMA,LIMA,MIRAFLORES,1,,1,,,1,,1,4
LIMA,LIMA,PACHACAMAC,,1,1,10,6,9,9,10,46
LIMA,LIMA,PUCUSANA,,,1,,1,3,,,5
LIMA,LIMA,PUEBLO LIBRE,2,1,2,1,2,2,6,3,19
LIMA,LIMA,PUENTE PIEDRA,3,10,14,24,33,43,43,42,212
LIMA,LIMA,PUNTA HERMOSA,,,,,,1,1,1,3
LIMA,LIMA,RIMAC,,3,15,20,26,30,20,22,136
LIMA,LIMA,SAN BARTOLO,,,,1,,1,2,1,5
LIMA,LIMA,SAN BORJA,,,1,,,1,1,2,5
LIMA,LIMA,SAN ISIDRO,,,,2,2,,,,4
LIMA,LIMA,SAN JUAN DE LURIGANCHO,3,6,39,109,163,119,97,132,668
LIMA,LIMA,SAN JUAN DE MIRAFLORES,4,6,15,32,16,19,27,39,158
LIMA,LIMA,SAN LUIS,,,,4,3,3,5,8,23
LIMA,LIMA,SAN MARTIN DE PORRES,20,17,37,42,80,68,55,90,409
LIMA,LIMA,SAN MIGUEL,1,,4,5,7,4,7,1,29
LIMA,LIMA,SANTA ANITA,,,13,22,16,25,42,19,137
LIMA,LIMA,SANTA MARIA DEL MAR,,,,,,,1,,1
LIMA,LIMA,SANTA ROSA,,2,1,2,2,,2,1,10
LIMA,LIMA,SANTIAGO DE SURCO,,3,6,10,12,5,4,7,47
LIMA,LIMA,SURQUILLO,4,,1,6,6,2,4,9,32
LIMA,LIMA,VILLA EL SALVADOR,1,1,12,19,22,15,18,21,109
LIMA,LIMA,VILLA MARIA DEL TRIUNFO,1,4,10,53,31,31,32,28,190
LIMA,BARRANCA,BARRANCA,4,5,8,8,7,7,6,10,55
LIMA,BARRANCA,PARAMONGA,1,4,1,3,,1,2,1,13
LIMA,BARRANCA,PATIVILCA,,1,1,2,,,1,,5
LIMA,BARRANCA,SUPE,,3,1,2,3,,2,5,16
LIMA,BARRANCA,SUPE PUERTO,1,2,1,1,,,2,2,9
LIMA,HUAROCHIRI,CASTA,,,,,,1,,,1
LIMA,HUAROCHIRI,CHICLA,,,,,,,1,,1
LIMA,HUAROCHIRI,HUAROCHIRI,,,1,1,1,,1,,4
LIMA,HUAROCHIRI,RICARDO PALMA,,,,1,1,,,1,3
LIMA,HUAROCHIRI,SAN ANDRES DE TUPICOCHA,,1,,,,,,,1
LIMA,HUAROCHIRI,SAN ANTONIO,1,2,2,2,2,2,5,4,20
LIMA,HUAROCHIRI,SAN BARTOLOME,,,,,,,,1,1
LIMA,HUAROCHIRI,SAN LORENZO DE QUINTI,,1,,,,,,,1
LIMA,HUAROCHIRI,SAN MATEO,1,1,,,,,,1,3
LIMA,HUAROCHIRI,SANGALLAYA,,,1,,,,,,1
LIMA,HUAROCHIRI,SANTA CRUZ DE COCACHACRA,,1,,1,,,,,2
LIMA,HUAROCHIRI,SANTA EULALIA,,2,1,2,2,,,,7
LIMA,HUAURA,CALETA DE CARQUIN,,,1,,1,1,,,3
LIMA,HUAURA,HUACHO,2,2,2,5,8,2,1,4,26
LIMA,HUAURA,HUALMAY,1,2,,3,1,1,2,2,12
LIMA,HUAURA,HUAURA,2,2,2,4,3,4,,,17
LIMA,HUAURA,PACCHO,,,1,,,,,,1
LIMA,HUAURA,SANTA LEONOR,,,,,,,,1,1
LIMA,HUAURA,SANTA MARIA,1,,4,1,6,6,1,6,25
LIMA,HUAURA,SAYAN,1,1,,,1,2,,1,6
LIMA,HUAURA,VEGUETA,,,,2,,2,,1,5
LIMA,HUARAL,ATAVILLOS BAJO,,,,,1,,,,1
LIMA,HUARAL,AUCALLAMA,,,,,1,,,,1
LIMA,HUARAL,CHANCAY,,2,1,2,3,1,7,7,23
LIMA,HUARAL,HUARAL,2,2,2,2,4,1,9,9,31
LIMA,HUARAL,IHUARI,,,,,,1,,,1
LIMA,CAÑETE,ASIA,1,1,1,1,1,,3,1,9
LIMA,CAÑETE,CERRO AZUL,,1,,,2,,,,3
LIMA,CAÑETE,CHILCA,2,5,1,4,4,5,3,14,38
LIMA,CAÑETE,IMPERIAL,2,3,8,10,9,4,8,15,59
LIMA,CAÑETE,LUNAHUANA,,,,1,,,,1,2
LIMA,CAÑETE,MALA,2,3,5,5,9,9,5,10,48
LIMA,CAÑETE,NUEVO IMPERIAL,,2,1,2,,1,2,1,9
LIMA,CAÑETE,PACARAN,,,1,,,,,,1
LIMA,CAÑETE,QUILMANA,1,,2,2,,,,2,7
LIMA,CAÑETE,SAN ANTONIO,,,,1,1,,1,1,4
LIMA,CAÑETE,SAN LUIS,2,,2,2,5,1,3,,15
LIMA,CAÑETE,SAN VICENTE DE CAÑETE,2,3,7,6,17,2,5,8,50
LIMA,CAÑETE,SANTA CRUZ DE FLORES,,,,,,,1,,1
LIMA,CANTA,SANTA ROSA DE QUIVES,1,,1,,,,,1,3
LIMA,YAUYOS,AYAUCA,,1,,,,,,,1
LIMA,YAUYOS,OMAS,1,,,,,,,,1
LIMA,CAJATAMBO,CAJATAMBO,,,,,,,1,,1
LIMA,CAJATAMBO,GORGOR,,,1,,,,,,1
LORETO,MAYNAS,ALTO NANAY,,,1,,,,,1,2
LORETO,MAYNAS,BELEN,,,1,4,8,5,4,4,26
LORETO,MAYNAS,FERNANDO LORES,,,,,2,,1,1,4
LORETO,MAYNAS,INDIANA,,,2,,,,1,1,4
LORETO,MAYNAS,IQUITOS,,,2,8,6,,2,7,25
LORETO,MAYNAS,MAZAN,,,1,,1,,,2,4
LORETO,MAYNAS,NAPO,,,,,1,,2,1,4
LORETO,MAYNAS,PUNCHANA,,,11,10,13,6,6,14,60
LORETO,MAYNAS,SAN JUAN BAUTISTA,,,5,6,21,5,6,9,52
LORETO,ALTO AMAZONAS,BALSAPUERTO,2,4,,,,,2,2,10
LORETO,ALTO AMAZONAS,JEBEROS,,,,,1,,,,1
LORETO,ALTO AMAZONAS,LAGUNAS,2,2,,,4,4,1,3,16
LORETO,ALTO AMAZONAS,SANTA CRUZ,,,,,,1,2,,3
LORETO,ALTO AMAZONAS,YURIMAGUAS,1,9,12,12,13,11,10,29,97
LORETO,DATEM DEL MARAÑON,ANDOAS,,,,1,,1,,,2
LORETO,DATEM DEL MARAÑON,BARRANCA,,,2,,1,4,1,2,10
LORETO,DATEM DEL MARAÑON,MANSERICHE,,,,,3,1,,2,6
LORETO,DATEM DEL MARAÑON,MORONA,,,,,1,,,,1
LORETO,DATEM DEL MARAÑON,PASTAZA,,,,,,,,1,1
LORETO,UCAYALI,CONTAMANA,,,,1,,,3,3,7
LORETO,UCAYALI,INAHUAYA,,,,,,,1,,1
LORETO,UCAYALI,SARAYACU,,,,1,,,,,1
LORETO,LORETO,NAUTA,,,1,1,4,,,6,12
LORETO,LORETO,TIGRE,,,,1,1,,,,2
LORETO,LORETO,TROMPETEROS,,,,,1,,,,1
LORETO,LORETO,URARINAS,,,,,1,,,,1
LORETO,PUTUMAYO,PUTUMAYO,,,,,1,,1,1,3
LORETO,REQUENA,ALTO TAPICHE,,,,1,,,,,1
LORETO,REQUENA,REQUENA,,,,1,2,,3,4,10
LORETO,MARISCAL RAMON CASTILLA,PEBAS,,,,1,1,,,,2
LORETO,MARISCAL RAMON CASTILLA,RAMON CASTILLA,,,,,2,,,2,4
MADRE DE DIOS,TAMBOPATA,INAMBARI,,1,1,6,5,,5,7,25
MADRE DE DIOS,TAMBOPATA,LABERINTO,,5,,1,1,,6,4,17
MADRE DE DIOS,TAMBOPATA,LAS PIEDRAS,,,4,3,2,1,4,8,22
MADRE DE DIOS,TAMBOPATA,TAMBOPATA,,17,19,35,36,28,50,41,226
MADRE DE DIOS,MANU,FITZCARRALD,,,,,,,,1,1
MADRE DE DIOS,MANU,HUEPETUHE,,,1,,3,,1,,5
MADRE DE DIOS,MANU,MADRE DE DIOS,,1,1,2,1,,4,6,15
MADRE DE DIOS,MANU,MANU,,,,,,,,3,3
MADRE DE DIOS,TAHUAMANU,IBERIA,,,,1,,2,2,1,6
MADRE DE DIOS,TAHUAMANU,IÑAPARI,,1,,,,,,,1
MADRE DE DIOS,TAHUAMANU,TAHUAMANU,,,,,1,,,,1
MOQUEGUA,MARISCAL NIETO,MOQUEGUA,2,3,1,,1,,,5,12
MOQUEGUA,MARISCAL NIETO,SAMEGUA,,,,1,,,,1,2
MOQUEGUA,MARISCAL NIETO,SAN CRISTOBAL,,,,,1,,,,1
MOQUEGUA,ILO,EL ALGARROBAL,,1,,,,,,,1
MOQUEGUA,ILO,ILO,2,8,1,1,9,1,8,12,42
MOQUEGUA,ILO,PACOCHA,,,,,,,1,,1
MOQUEGUA,GENERAL SANCHEZ CERRO,CHOJATA,,1,,,,,,,1
MOQUEGUA,GENERAL SANCHEZ CERRO,ICHUÑA,,,,1,,,,,1
PASCO,OXAPAMPA,CHONTABAMBA,,,,,1,1,,,2
PASCO,OXAPAMPA,CONSTITUCION,,,2,13,14,1,5,6,41
PASCO,OXAPAMPA,OXAPAMPA,,,,1,5,2,3,,11
PASCO,OXAPAMPA,PALCAZU,,1,2,,3,,1,,7
PASCO,OXAPAMPA,POZUZO,,1,,,1,,,,2
PASCO,OXAPAMPA,PUERTO BERMUDEZ,,4,18,43,23,14,16,22,140
PASCO,OXAPAMPA,VILLA RICA,,1,1,1,,,1,1,5
PASCO,PASCO,CHAUPIMARCA,,,3,3,1,1,1,1,10
PASCO,PASCO,HUARIACA,,,2,,,,,,2
PASCO,PASCO,HUAYLLAY,,,,,1,,,1,2
PASCO,PASCO,PALLANCHACRA,,,,,,,1,1,2
PASCO,PASCO,SAN FRANCISCO DE ASIS DE YARUSYACAN,,,,,,1,,,1
PASCO,PASCO,SIMON BOLIVAR,,,,,,,,1,1
PASCO,PASCO,YANACANCHA,,,3,3,2,1,,1,10
PASCO,DANIEL ALCIDES CARRION,CHACAYAN,,,,,,,,1,1
PASCO,DANIEL ALCIDES CARRION,YANAHUANCA,,1,,1,,,,,2
PIURA,PIURA,CASTILLA,,2,,1,,,,,3
PIURA,PIURA,CATACAOS,,,,,1,,,1,2
PIURA,PIURA,CURA MORI,,,,1,,,,,1
PIURA,PIURA,LA UNION,,,,1,,,,,1
PIURA,PIURA,LAS LOMAS,,,,,1,,,,1
PIURA,PIURA,PIURA,,,,,8,,5,4,17
PIURA,PIURA,TAMBO GRANDE,,,,,3,,,,3
PIURA,PIURA,VEINTISEIS DE OCTUBRE,,,,2,1,1,,5,9
PIURA,SULLANA,BELLAVISTA,,,1,3,3,,,1,8
PIURA,SULLANA,IGNACIO ESCUDERO,,,,,,1,,1,2
PIURA,SULLANA,MARCAVELICA,,,1,,,,,,1
PIURA,SULLANA,MIGUEL CHECA,,,,,,,,1,1
PIURA,SULLANA,QUERECOTILLO,,,,,1,,,,1
PIURA,SULLANA,SULLANA,,3,3,12,3,,4,5,30
PIURA,TALARA,LOS ORGANOS,,,,,1,,,,1
PIURA,TALARA,MANCORA,,,,1,1,,1,1,4
PIURA,TALARA,PARIÑAS,,1,,,3,2,4,6,16
PIURA,MORROPON,CHALACO,,,1,,,,,,1
PIURA,MORROPON,CHULUCANAS,,,2,2,1,,1,1,7
PIURA,MORROPON,MORROPON,,,1,,2,,,,3
PIURA,MORROPON,SALITRAL,,,1,1,,,,,2
PIURA,MORROPON,SAN JUAN DE BIGOTE,,,,,,,,1,1
PIURA,MORROPON,SANTA CATALINA DE MOSSA,,,,,1,,,,1
PIURA,MORROPON,SANTO DOMINGO,,,,,,,1,,1
PIURA,MORROPON,YAMANGO,,,,,,,1,,1
PIURA,PAITA,COLAN,,,,,1,,,1,2
PIURA,PAITA,LA HUACA,,,,,,,2,,2
PIURA,PAITA,PAITA,,3,1,10,9,5,12,10,50
PIURA,PAITA,VICHAYAL,,,,,1,,,,1
PIURA,HUANCABAMBA,CANCHAQUE,,,1,,1,,,1,3
PIURA,HUANCABAMBA,HUANCABAMBA,,,,,1,1,1,,3
PIURA,HUANCABAMBA,HUARMACA,,,,,,,,1,1
PIURA,AYABACA,AYABACA,,,,,,,,1,1
PIURA,AYABACA,MONTERO,,,,,,,,1,1
PIURA,AYABACA,PACAIPAMPA,,,,1,,,,,1
PIURA,AYABACA,PAIMAS,,,,,,,,1,1
PUNO,PUNO,ACORA,,,,1,1,,,,2
PUNO,PUNO,ATUNCOLLA,,,,1,,1,,,2
PUNO,PUNO,CHUCUITO,,,2,,,,,,2
PUNO,PUNO,PICHACANI,,,,,1,,,,1
PUNO,PUNO,PUNO,,,7,4,16,7,3,2,39
PUNO,CHUCUITO,DESAGUADERO,,1,,,1,,,,2
PUNO,CHUCUITO,JULI,,,1,1,1,,,,3
PUNO,CHUCUITO,POMATA,,1,3,1,,,,,5
PUNO,YUNGUYO,YUNGUYO,,,,,1,,,,1
PUNO,SAN ROMAN,JULIACA,,,,23,44,7,5,1,80
PUNO,SAN ROMAN,SAN MIGUEL,,,,1,,,,,1
PUNO,HUANCANE,HUANCANE,,,,1,,,,,1
PUNO,HUANCANE,INCHUPALLA,,1,1,,,,,,2
PUNO,HUANCANE,VILQUE CHICO,,1,,,,,,,1
PUNO,AZANGARO,ARAPA,,,,,,1,,,1
PUNO,AZANGARO,AZANGARO,,,2,3,2,,,1,8
PUNO,AZANGARO,CAMINACA,,,,,,,,1,1
PUNO,AZANGARO,MUÑANI,,,,2,,,,,2
PUNO,AZANGARO,SAN ANTON,,,,,1,,,,1
PUNO,AZANGARO,SAN JOSE,,,,,2,,,,2
PUNO,SANDIA,ALTO INAMBARI,,,,1,1,,1,1,4
PUNO,SANDIA,CUYOCUYO,,,,,,,,1,1
PUNO,SANDIA,PHARA,,,,,2,,,,2
PUNO,SANDIA,SAN JUAN DEL ORO,,,,,,,,1,1
PUNO,SANDIA,SAN PEDRO DE PUTINA PUNCO,,,,,,,3,,3
PUNO,SANDIA,SANDIA,,,2,3,7,,,,12
PUNO,CARABAYA,AYAPATA,,2,,2,1,,,,5
PUNO,CARABAYA,COASA,,,,1,,,,,1
PUNO,CARABAYA,CORANI,,1,,,,,,,1
PUNO,CARABAYA,ITUATA,,,,,1,,,,1
PUNO,CARABAYA,MACUSANI,,,,1,,,,,1
PUNO,LAMPA,CABANILLA,,,,1,,,,,1
PUNO,LAMPA,PALCA,,,,,,,1,,1
PUNO,LAMPA,PUCARA,,,,1,1,,,,2
PUNO,LAMPA,SANTA LUCIA,,1,,,,,,,1
PUNO,MOHO,CONIMA,,1,,1,1,,,,3
PUNO,MOHO,TILALI,,,1,,,,,,1
PUNO,EL COLLAO,ILAVE,,4,3,,4,,,,11
PUNO,SAN ANTONIO DE PUTINA,ANANEA,,,,1,,,,,1
PUNO,SAN ANTONIO DE PUTINA,PEDRO VILCA APAZA,,,1,,,,,,1
PUNO,SAN ANTONIO DE PUTINA,PUTINA,,,3,1,,,1,1,6
PUNO,SAN ANTONIO DE PUTINA,QUILCAPUNCU,,,,1,,,1,,2
PUNO,MELGAR,AYAVIRI,,,,,,,1,,1
PUNO,MELGAR,UMACHIRI,,,,1,,,,,1
SAN MARTIN,TOCACHE,NUEVO PROGRESO,,,,,,,1,,1
SAN MARTIN,TOCACHE,POLVORA,,,,,,,2,,2
SAN MARTIN,TOCACHE,TOCACHE,,,,1,1,,8,2,12
SAN MARTIN,PICOTA,BUENOS AIRES,,1,1,,,,,,2
SAN MARTIN,PICOTA,PICOTA,,2,,2,,2,,8,14
SAN MARTIN,PICOTA,PUCACACA,,2,1,,,,,,3
SAN MARTIN,PICOTA,SAN CRISTOBAL,,1,,,,,,,1
SAN MARTIN,PICOTA,SAN HILARION,,2,,,,,,,2
SAN MARTIN,PICOTA,TINGO DE PONASA,,,,,,,,1,1
SAN MARTIN,LAMAS,ALONSO DE ALVARADO,,1,1,2,1,,,,5
SAN MARTIN,LAMAS,BARRANQUITA,,1,,2,3,2,2,2,12
