"year","ubigeo","caseid","conglome","estrato","codperso","facpob07","sex","age","civil_status","poverty","linpe","linea","caseid2","visit_preg","p4041","p4042","p4043","p4044","p4045","p4046","p4047","p4191","p4192","p4193","p4194","p4195","p4196","p4197","p4198","factor07","language","education_level","who_assisted_you","health_insurance"
"2015","130301","01  001498  005  11  130301","001498","rural","01",345.59,"woman",85,"no married/living_together","poor",145.335739135742,233.295776367188,"01  01","no",NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2,2,2,345.59,"spanish","less than secondary",NA,NA
"2015","130902","01  001510  042  11  130902","001510","rural","01",312.15,"man",48,NA,"poor",145.335739135742,233.295776367188,"01  01","no",NA,NA,NA,NA,NA,NA,NA,2,2,2,2,1,2,2,2,312.15,"spanish","less than secondary",NA,"yes"
"2015","150106","01  001796  010  11  150106","001796","urban","01",1105.35,"man",45,NA,"no poor",203.860992431641,399.429595947266,"01  02","no",NA,NA,NA,NA,NA,NA,NA,1,2,2,2,2,2,2,2,1105.35,"spanish",NA,NA,"yes"
"2015","150120","01  001912  001  11  150120","001912","urban","01",625.76,"woman",60,NA,"no poor",203.860992431641,399.429595947266,"01  03","no",NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2,2,2,625.76,"spanish",NA,NA,NA
"2015","150128","01  001945  009  11  150128","001945","urban","01",1105.35,"woman",63,"no married/living_together","no poor",203.860992431641,399.429595947266,"01  02","no",NA,NA,NA,NA,NA,NA,NA,2,2,2,2,1,2,2,2,NA,NA,NA,NA,"yes"
"2015","150141","01  002091  015  14  150141","002091","urban","01",1105.35,"woman",56,"no married/living_together","no poor",203.860992431641,399.429595947266,"01  01","no",NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2,2,2,1105.35,"spanish","less than secondary",NA,NA
"2015","150811","01  002179  009  11  150811","002179","rural","01",309.06,"woman",66,"no married/living_together","no poor",156.370590209961,310.520111083984,"01  01","no",1,0,0,0,0,0,0,1,2,2,2,2,2,2,2,309.06,"spanish","less than secondary","doctor/nurse/obstetrician","yes"
"2015","170303","01  002448  016  11  170303","002448","rural","01",49.94,"man",51,"no married/living_together","no poor",136.040298461914,222.281600952148,"01  01","no",NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2,2,2,49.94,NA,"less than secondary",NA,NA
"2015","190307","01  002641  021  11  190307","002641","rural","01",124.92,"woman",36,"no married/living_together","no poor",167.636779785156,298.704406738281,"01  01","no",NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2,2,2,124.92,"spanish",NA,NA,NA
"2015","200704","01  002777  008  11  200704","002777","rural","01",197.78,"man",70,"married/living_together","no poor",138.997756958008,253.593872070312,"01  01","no",1,0,0,0,0,0,0,2,2,2,2,1,2,2,2,197.78,"spanish","less than secondary","doctor/nurse/obstetrician","yes"
"2015","220709","01  003055  008  11  220709","003055","rural","01",190.24,"man",44,"married/living_together","no poor",136.040298461914,222.194549560547,"01  01","no",NA,NA,NA,NA,NA,NA,NA,2,2,2,2,1,2,2,2,190.24,"spanish","less than secondary",NA,"yes"
"2015","220302","01  003079  021  11  220302","003079","rural","01",201.11,"man",57,"married/living_together","no poor",136.040298461914,222.194549560547,"01  01","no",NA,NA,NA,NA,NA,NA,NA,2,2,2,2,1,2,2,2,201.11,"spanish","less than secondary",NA,"yes"
"2015","230101","01  003114  011  11  230101","003114","urban","01",115.04,"woman",76,"no married/living_together","no poor",156.370590209961,313.025207519531,"01  01","no",NA,NA,NA,NA,NA,NA,NA,1,2,2,2,2,2,2,2,115.04,"spanish",NA,NA,"yes"
"2015","050507","01  003529  167  11  050507","003529","rural","01",174.65,"man",53,NA,"no poor",136.040298461914,228.281127929688,"01  01","no",NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2,2,2,174.65,NA,"less than secondary",NA,NA
"2015","120305","01  004017  005  11  120305","004017","rural","01",610.49,"man",41,NA,"no poor",167.636779785156,297.010467529297,"01  02","no",NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2,2,2,610.49,"spanish",NA,NA,NA
"2015","050606","01  004021  021  11  050606","004021","rural","01",179.43,"man",81,"married/living_together","poor",145.335739135742,234.3857421875,"01  01","no",NA,NA,NA,NA,NA,NA,NA,2,2,2,2,1,2,2,2,179.43,NA,"less than secondary",NA,"yes"
"2015","120429","01  004023  010  11  120429","004023","rural","01",231.32,"man",57,NA,"no poor",145.335739135742,232.535095214844,"01  01","no",NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2,2,2,231.32,NA,"less than secondary",NA,NA
"2015","010306","01  005124  018  11  010306","005124","rural","01",67.11,"man",29,NA,"poor",145.335739135742,230.493896484375,"01  01","no",NA,NA,NA,NA,NA,NA,NA,2,2,2,2,1,2,2,2,67.11,"spanish","less than secondary",NA,"yes"
"2015","010304","01  005127  001  11  010304","005127","rural","01",67.11,"man",58,"married/living_together","no poor",145.335739135742,230.493896484375,"01  01","no",NA,NA,NA,NA,NA,NA,NA,2,2,2,2,1,2,2,2,67.11,"spanish","less than secondary",NA,"yes"
"2015","010510","01  005135  009  11  010510","005135","rural","01",68,"man",42,"married/living_together","poor",145.335739135742,230.493896484375,"01  02","no",NA,NA,NA,NA,NA,NA,NA,2,2,2,2,1,2,2,2,68,"spanish",NA,NA,"yes"
"2015","010513","01  005137  006  11  010513","005137","rural","01",67.4,"man",29,NA,"poor",145.335739135742,230.493896484375,"01  01","no",0,0,0,0,1,0,0,2,2,2,2,1,2,2,2,67.4,"spanish","less than secondary","other","yes"
"2015","010112","01  005151  005  11  010112","005151","rural","01",68,"man",71,"married/living_together","no poor",145.335739135742,230.493896484375,"01  01","no",NA,NA,NA,NA,NA,NA,NA,2,2,2,2,1,2,2,2,68,"spanish","less than secondary",NA,"yes"
"2015","020501","01  005281  007  11  020501","005281","rural","01",240.16,"woman",52,"no married/living_together","no poor",153.936996459961,277.728851318359,"01  01","no",NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2,2,2,240.16,"spanish",NA,NA,NA
"2016","022002","01  005299  033  11  022002","005299","rural","01",188.79224061988,"man",60,"no married/living_together","poor",153.329116821289,244.781829833984,"01  01","no",NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2,2,2,188.79224061988,NA,"less than secondary",NA,NA
"2015","022008","01  005303  001  11  022008","005303","rural","01",207.95,"man",36,"married/living_together","no poor",145.335739135742,233.816345214844,"01  01","no",NA,NA,NA,NA,NA,NA,NA,1,2,2,2,2,2,2,2,207.95,"spanish",NA,NA,"yes"
"2015","020110","01  005311  005  11  020110","005311","rural","01",207.95,"man",30,NA,"no poor",145.335739135742,233.816345214844,"01  01","no",NA,NA,NA,NA,NA,NA,NA,2,2,2,2,1,2,2,2,207.95,"spanish",NA,NA,"yes"
"2015","020304","01  005326  001  11  020304","005326","rural","01",207.95,"man",48,NA,"poor",145.335739135742,233.816345214844,"01  01","no",NA,NA,NA,NA,NA,NA,NA,2,2,2,2,1,2,2,2,207.95,NA,NA,NA,"yes"
"2016","020306","01  005328  041  11  020306","005328","rural","01",188.79224061988,"man",78,"no married/living_together","no poor",153.329116821289,244.781829833984,"01  01","no",NA,NA,NA,NA,NA,NA,NA,2,2,2,2,1,2,2,2,188.79224061988,NA,"less than secondary",NA,"yes"
"2015","030210","01  005427  014  11  030210","005427","rural","01",122.54,"man",42,NA,"no poor",145.335739135742,232.682327270508,"01  01","no",NA,NA,NA,NA,NA,NA,NA,2,2,2,2,1,2,2,2,122.54,NA,"less than secondary",NA,"yes"
"2015","030415","01  005442  004  11  030415","005442","rural","01",130.99,"woman",46,"no married/living_together","no poor",145.335739135742,232.682327270508,"01  01","no",NA,NA,NA,NA,NA,NA,NA,2,2,2,2,1,2,2,2,130.99,NA,"less than secondary",NA,"yes"
"2015","030403","01  005450  001  11  030403","005450","rural","01",130.99,"man",61,"married/living_together","no poor",145.335739135742,232.682327270508,"01  01","no",NA,NA,NA,NA,NA,NA,NA,2,2,2,2,1,2,2,2,130.99,NA,"less than secondary",NA,"yes"
"2015","030406","01  005451  020  11  030406","005451","rural","01",122.54,"man",22,NA,"no poor",145.335739135742,232.682327270508,"01  01","no",NA,NA,NA,NA,NA,NA,NA,2,2,2,2,1,2,2,2,122.54,NA,"less than secondary",NA,"yes"
"2015","040704","01  005639  002  11  040704","005639","rural","01",233.27,"man",41,"no married/living_together","no poor",156.370590209961,315.145751953125,"01  01","no",NA,NA,NA,NA,NA,NA,NA,1,2,2,2,2,2,2,2,233.27,"spanish",NA,NA,"yes"
"2015","040403","01  005658  001  11  040403","005658","rural","01",130.29,"man",77,"married/living_together","poor",145.335739135742,236.017135620117,"01  01","no",NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2,2,2,130.29,"spanish","less than secondary",NA,NA
"2015","040514","01  005675  010  11  040514","005675","rural","01",130.29,"man",27,NA,"no poor",145.335739135742,236.017135620117,"01  01","no",NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2,2,2,130.29,"spanish",NA,NA,NA
"2015","050406","01  005768  005  11  050406","005768","rural","01",152.71,"man",62,"married/living_together","no poor",145.335739135742,234.3857421875,"01  01","no",NA,NA,NA,NA,NA,NA,NA,2,2,2,2,1,2,2,2,152.71,NA,"less than secondary",NA,"yes"
"2015","050403","01  005774  053  11  050403","005774","rural","01",160.63,"woman",48,"no married/living_together","no poor",145.335739135742,234.3857421875,"01  01","no",NA,NA,NA,NA,NA,NA,NA,2,2,2,2,1,2,2,2,160.63,NA,"less than secondary",NA,"yes"
"2015","051104","01  005808  003  11  051104","005808","rural","01",152.71,"man",45,"married/living_together","poor",145.335739135742,234.3857421875,"01  01","no",NA,NA,NA,NA,NA,NA,NA,2,2,2,2,1,2,2,2,152.71,NA,"less than secondary",NA,"yes"
"2015","050304","01  005821  004  11  050304","005821","rural","01",152.71,"man",43,"married/living_together","no poor",145.335739135742,234.3857421875,"01  01","no",1,0,0,0,0,0,0,1,2,2,2,2,2,2,2,152.71,"spanish",NA,"doctor/nurse/obstetrician","yes"
"2015","060810","01  005919  030  11  060810","005919","rural","01",330.19,"man",65,NA,"poor",145.335739135742,231.377105712891,"01  02","no",NA,NA,NA,NA,NA,NA,NA,2,2,2,2,1,2,2,2,330.19,"spanish",NA,NA,"yes"
"2015","060807","01  005920  017  11  060807","005920","rural","01",296.45,"woman",72,"no married/living_together","no poor",136.040298461914,225.164703369141,"01  01","no",NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2,2,2,296.45,"spanish","less than secondary",NA,NA
"2015","060608","01  005930  001  11  060608","005930","rural","01",330.19,"man",50,"married/living_together","poor",145.335739135742,231.377105712891,"01  01","no",NA,NA,NA,NA,NA,NA,NA,2,2,2,2,1,2,2,2,330.19,"spanish","less than secondary",NA,"yes"
"2015","060411","01  005944  007  11  060411","005944","rural","01",352.2,"man",63,NA,"poor",145.335739135742,231.377105712891,"01  01","no",NA,NA,NA,NA,NA,NA,NA,2,2,2,2,1,2,2,2,352.2,"spanish","less than secondary",NA,"yes"
"2015","061106","01  005984  005  11  061106","005984","rural","01",341.45,"man",62,"married/living_together","poor",138.997756958008,247.739624023438,"01  01","no",NA,NA,NA,NA,NA,NA,NA,2,2,2,2,1,2,2,2,341.45,"spanish","less than secondary",NA,"yes"
"2015","060505","01  005986  029  11  060505","005986","rural","01",341.45,"man",35,NA,"no poor",138.997756958008,247.739624023438,"01  01","no",NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2,2,2,341.45,"spanish",NA,NA,NA
"2015","080701","01  006251  003  11  080701","006251","rural","01",737.78,"man",70,"married/living_together","no poor",153.936996459961,281.594360351562,"01  01","no",NA,NA,NA,NA,NA,NA,NA,1,2,2,2,2,2,2,2,737.78,NA,NA,NA,"yes"
"2015","080605","01  006266  007  11  080605","006266","rural","01",592.92,"man",37,"no married/living_together","no poor",153.936996459961,281.594360351562,"01  01","no",NA,NA,NA,NA,NA,NA,NA,1,2,2,2,2,2,2,2,592.92,"spanish",NA,NA,"yes"
"2015","080909","01  006280  066  11  080909","006280","rural","01",264.26,"man",49,"married/living_together","no poor",145.335739135742,236.579223632812,"01  02","no",NA,NA,NA,NA,NA,NA,NA,2,2,2,2,1,2,2,2,264.26,NA,"less than secondary",NA,"yes"
"2015","080404","01  006286  003  11  080404","006286","rural","01",257.12,"man",78,"no married/living_together","no poor",145.335739135742,236.579223632812,"01  01","no",0,0,0,1,0,0,0,2,2,2,2,1,2,2,2,257.12,NA,"less than secondary","doctor/nurse/obstetrician","yes"
"2016","081306","01  006292  026  11  081306","006292","rural","01",220.045396984418,"man",48,NA,"no poor",153.329116821289,248.482238769531,"01  01","no",1,0,0,0,0,0,0,2,2,2,2,1,2,2,2,220.045396984418,"spanish",NA,"doctor/nurse/obstetrician","yes"
"2015","081104","01  006312  029  11  081104","006312","rural","01",264.26,"man",69,"no married/living_together","no poor",145.335739135742,236.579223632812,"01  01","no",NA,NA,NA,NA,NA,NA,NA,2,2,2,2,1,2,2,2,264.26,NA,"less than secondary",NA,"yes"
"2015","081212","01  006322  059  11  081212","006322","rural","01",264.26,"man",36,NA,"poor",145.335739135742,236.579223632812,"01  01","no",NA,NA,NA,NA,NA,NA,NA,2,2,2,2,1,2,2,2,264.26,NA,NA,NA,"yes"
"2015","080705","01  006337  004  11  080705","006337","rural","01",250.35,"woman",76,"no married/living_together","no poor",145.335739135742,236.579223632812,"01  01","no",NA,NA,NA,NA,NA,NA,NA,2,2,2,2,1,2,2,2,250.35,NA,"less than secondary",NA,"yes"
"2015","080805","01  006343  002  11  080805","006343","rural","01",257.12,"woman",39,NA,"poor",145.335739135742,236.579223632812,"01  01","yes",NA,NA,NA,NA,NA,NA,NA,2,2,2,2,1,2,2,2,257.12,NA,"less than secondary",NA,"yes"
"2015","090707","01  006397  001  11  090707","006397","rural","01",140.49,"man",71,"married/living_together","no poor",145.335739135742,231.167556762695,"01  01","no",1,0,0,0,0,0,0,2,2,2,2,1,2,2,2,140.49,NA,"less than secondary","doctor/nurse/obstetrician","yes"
"2015","090718","01  006416  024  11  090718","006416","rural","01",141.47,"man",48,"married/living_together","poor",145.335739135742,231.167556762695,"01  01","no",NA,NA,NA,NA,NA,NA,NA,2,2,2,2,1,2,2,2,141.47,NA,"less than secondary",NA,"yes"
"2015","090509","01  006421  004  11  090509","006421","rural","01",140.49,"man",43,"married/living_together","no poor",145.335739135742,231.167556762695,"01  01","no",NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2,2,2,140.49,"spanish",NA,NA,NA
"2015","090208","01  006433  008  11  090208","006433","rural","01",140.49,"woman",90,"no married/living_together","no poor",145.335739135742,231.167556762695,"01  01","no",1,0,0,0,0,0,0,2,2,2,2,1,2,2,2,140.49,NA,"less than secondary","doctor/nurse/obstetrician","yes"
"2015","090113","01  006448  004  11  090113","006448","rural","01",140.49,"man",37,NA,"poor",145.335739135742,231.167556762695,"01  02","no",NA,NA,NA,NA,NA,NA,NA,2,2,2,2,1,2,2,2,140.49,NA,"less than secondary",NA,"yes"
"2015","100702","01  006569  014  11  100702","006569","rural","01",186.41,"man",58,NA,"no poor",145.335739135742,235.978424072266,"01  01","no",NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2,2,2,186.41,NA,"less than secondary",NA,NA
"2015","100605","01  006582  007  11  100605","006582","rural","01",223.25,"woman",34,"no married/living_together","no poor",136.040298461914,229.930892944336,"01  01","no",NA,NA,NA,NA,NA,NA,NA,2,2,2,2,1,2,2,2,223.25,"spanish",NA,NA,"yes"
"2015","101106","01  006613  002  11  101106","006613","rural","01",186.41,"man",38,NA,"no poor",145.335739135742,235.978424072266,"01  01","no",NA,NA,NA,NA,NA,NA,NA,2,2,2,2,1,2,2,2,186.41,NA,"less than secondary",NA,"yes"
"2015","101103","01  006617  001  11  101103","006617","rural","01",186.08,"man",35,NA,"poor",145.335739135742,235.978424072266,"01  02","no",NA,NA,NA,NA,NA,NA,NA,2,2,2,2,1,2,2,2,186.08,NA,"less than secondary",NA,"yes"
"2015","100205","01  006657  005  11  100205","006657","rural","01",186.08,"man",67,"no married/living_together","no poor",145.335739135742,235.978424072266,"01  01","no",NA,NA,NA,NA,NA,NA,NA,2,2,2,2,1,2,2,2,186.08,"spanish","less than secondary",NA,"yes"
"2015","110503","01  006807  001  11  110503","006807","rural","01",230.9,"woman",50,"no married/living_together","no poor",156.370590209961,322.045776367188,"01  01","no",NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2,2,2,230.9,NA,"less than secondary",NA,NA
"2015","120302","01  006960  003  11  120302","006960","urban","01",163.9,"woman",54,"no married/living_together","no poor",167.636779785156,297.010467529297,"01  01","no",NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2,2,2,163.9,NA,"less than secondary",NA,NA
"2015","120504","01  007001  001  11  120504","007001","rural","01",180.31,"man",74,"no married/living_together","poor",145.335739135742,232.535095214844,"01  01","no",NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2,2,2,180.31,NA,"less than secondary",NA,NA
"2015","120703","01  007012  020  11  120703","007012","rural","01",180.31,"woman",41,"no married/living_together","no poor",145.335739135742,232.535095214844,"01  01","no",1,0,0,0,0,0,0,2,2,2,2,1,2,2,2,180.31,"spanish","less than secondary","doctor/nurse/obstetrician","yes"
"2015","120424","01  007028  001  11  120424","007028","rural","01",180.31,"woman",79,"no married/living_together","no poor",145.335739135742,232.535095214844,"01  01","no",NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2,2,2,180.31,"spanish","less than secondary",NA,NA
"2015","120431","01  007032  010  11  120431","007032","rural","01",180.31,"woman",73,"no married/living_together","poor",145.335739135742,232.535095214844,"01  01","no",NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2,2,2,180.31,"spanish","less than secondary",NA,NA
"2015","120403","01  007033  001  11  120403","007033","rural","01",180.31,"man",32,NA,"no poor",145.335739135742,232.535095214844,"01  01","no",NA,NA,NA,NA,NA,NA,NA,2,2,2,2,1,2,2,2,180.31,"spanish",NA,NA,"yes"
"2015","130401","01  007164  003  11  130401","007164","urban","01",700.18,"man",58,NA,"no poor",156.370590209961,310.380889892578,"01  01","no",NA,NA,NA,NA,NA,NA,NA,1,2,2,2,2,2,2,2,700.18,"spanish",NA,NA,"yes"
"2015","130107","01  007208  005  11  130107","007208","urban","01",434.69,"man",76,NA,"poor",156.370590209961,310.380889892578,"01  01","no",NA,NA,NA,NA,NA,NA,NA,2,2,2,2,1,2,2,2,434.69,"spanish","less than secondary",NA,"yes"
"2015","130611","01  007253  001  11  130611","007253","rural","01",245.08,"man",80,"married/living_together","poor",145.335739135742,233.295776367188,"01  01","no",1,0,0,0,0,0,0,2,2,2,2,1,2,2,2,245.08,"spanish","less than secondary","doctor/nurse/obstetrician","yes"
"2015","140113","01  007411  002  11  140113","007411","rural","01",147.14,"woman",32,"no married/living_together","no poor",156.370590209961,313.46923828125,"01  01","no",NA,NA,NA,NA,NA,NA,NA,2,2,2,2,1,2,2,2,147.14,"spanish",NA,NA,"yes"
"2015","140306","01  007443  012  11  140306","007443","rural","01",102.43,"man",54,NA,"no poor",138.997756958008,252.393737792969,"01  01","no",NA,NA,NA,NA,NA,NA,NA,2,2,2,2,1,2,2,2,102.43,"spanish","less than secondary",NA,"yes"
"2015","150121","01  007748  005  11  150121","007748","urban","01",794.17,"man",85,"married/living_together","no poor",203.860992431641,399.429595947266,"01  01","no",NA,NA,NA,NA,NA,NA,NA,1,2,2,2,2,2,2,2,794.17,"spanish",NA,NA,"yes"
"2015","150113","01  007778  008  11  150113","007778","urban","01",617.91,"man",37,"no married/living_together","no poor",203.860992431641,399.429595947266,"01  01","no",NA,NA,NA,NA,NA,NA,NA,1,2,1,2,2,2,2,2,617.91,"spanish",NA,NA,"yes"
"2015","150202","01  007980  005  11  150202","007980","urban","01",228.81,"man",47,NA,"no poor",156.370590209961,310.520111083984,"01  01","no",NA,NA,NA,NA,NA,NA,NA,2,2,2,2,1,2,2,2,228.81,"spanish",NA,NA,"yes"
"2015","150801","01  008005  004  11  150801","008005","urban","01",202.77,"man",59,"married/living_together","no poor",156.370590209961,310.520111083984,"01  01","no",NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2,2,2,202.77,"spanish",NA,NA,NA
"2015","150904","01  008128  004  11  150904","008128","rural","01",115.04,"man",23,NA,"no poor",145.335739135742,233.375305175781,"01  01","no",0,0,0,1,0,0,0,2,2,2,2,1,2,2,2,115.04,"spanish",NA,"doctor/nurse/obstetrician","yes"
"2015","150602","01  008136  001  11  150602","008136","rural","01",115.04,"man",55,"married/living_together","no poor",145.335739135742,233.375305175781,"01  01","no",NA,NA,NA,NA,NA,NA,NA,1,2,2,2,2,2,2,2,115.04,"spanish",NA,NA,"yes"
"2015","150506","01  008168  011  11  150506","008168","rural","01",97.33,"man",81,"married/living_together","no poor",138.997756958008,250.265014648438,"01  01","no",NA,NA,NA,NA,NA,NA,NA,1,2,2,2,2,2,2,2,97.33,"spanish","less than secondary",NA,"yes"
"2015","160603","01  008307  002  11  160603","008307","rural","01",206.06,"man",59,"married/living_together","poor",167.636779785156,289.853973388672,"01  01","no",NA,NA,NA,NA,NA,NA,NA,2,2,2,2,1,2,2,2,206.06,"no spanish","less than secondary",NA,"yes"
"2015","160702","01  008308  051  11  160702","008308","rural","01",168.34,"woman",30,"no married/living_together","no poor",136.040298461914,221.367782592773,"01  01","no",NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2,2,2,168.34,"no spanish","less than secondary",NA,NA
"2015","160110","01  008318  008  11  160110","008318","rural","01",164.87,"man",28,NA,"poor",136.040298461914,221.367782592773,"01  02","no",NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2,2,2,164.87,"no spanish","less than secondary",NA,NA
"2015","180209","01  008587  004  11  180209","008587","rural","01",65.36,"man",43,NA,"no poor",145.335739135742,233.385955810547,"01  01","no",NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2,2,2,65.36,"spanish","less than secondary",NA,NA
"2015","180207","01  008588  007  11  180207","008588","rural","01",65.36,"man",87,"no married/living_together","no poor",145.335739135742,233.385955810547,"01  01","no",1,0,0,0,0,0,0,2,2,2,2,1,2,2,2,65.36,NA,"less than secondary","doctor/nurse/obstetrician","yes"
"2015","190105","01  008671  022  11  190105","008671","rural","01",98.66,"woman",81,"no married/living_together","no poor",153.936996459961,277.533630371094,"01  01","no",1,0,0,0,0,0,0,2,2,2,2,1,2,2,2,98.66,NA,"less than secondary","doctor/nurse/obstetrician","yes"
"2015","190102","01  008673  014  11  190102","008673","rural","01",148.12,"man",65,"no married/living_together","no poor",153.936996459961,277.533630371094,"01  01","no",NA,NA,NA,NA,NA,NA,NA,2,2,2,2,1,2,2,2,148.12,NA,"less than secondary",NA,"yes"
"2015","200110","01  008862  005  11  200110","008862","urban","01",393.31,"man",61,"married/living_together","no poor",156.370590209961,315.131896972656,"01  01","no",NA,NA,NA,NA,NA,NA,NA,2,2,2,2,1,2,2,2,393.31,"spanish","less than secondary",NA,"yes"
"2015","210501","01  009029  005  11  210501","009029","urban","01",344.15,"man",55,"married/living_together","no poor",153.936996459961,282.796813964844,"01  01","no",NA,NA,NA,NA,NA,NA,NA,1,2,2,2,2,2,2,2,344.15,"spanish",NA,NA,"yes"
"2015","210308","01  009039  031  11  210308","009039","rural","01",345.01,"man",59,"no married/living_together","no poor",145.335739135742,237.438674926758,"01  01","no",NA,NA,NA,NA,NA,NA,NA,2,2,2,2,1,2,2,2,345.01,NA,"less than secondary",NA,"yes"
"2015","210310","01  009040  081  11  210310","009040","rural","01",345.01,"man",56,"married/living_together","no poor",145.335739135742,237.438674926758,"01  02","no",NA,NA,NA,NA,NA,NA,NA,2,2,2,2,1,2,2,2,345.01,NA,"less than secondary",NA,"yes"
"2015","211205","01  009042  008  11  211205","009042","rural","01",345.01,"man",41,"no married/living_together","no poor",145.335739135742,237.438674926758,"01  01","no",NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2,2,2,345.01,NA,NA,NA,NA
"2015","210503","01  009105  014  11  210503","009105","rural","01",330.37,"man",39,"married/living_together","poor",145.335739135742,237.438674926758,"01  01","no",NA,NA,NA,NA,NA,NA,NA,2,2,2,2,1,2,2,2,330.37,NA,NA,NA,"yes"
"2015","220106","01  009185  006  11  220106","009185","rural","01",173.38,"man",54,"married/living_together","poor",136.040298461914,222.194549560547,"01  01","no",NA,NA,NA,NA,NA,NA,NA,2,2,2,2,1,2,2,2,173.38,"spanish","less than secondary",NA,"yes"
"2015","220604","01  009287  010  11  220604","009287","rural","01",173.38,"man",70,NA,"no poor",136.040298461914,222.194549560547,"01  02","no",NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2,2,2,173.38,"spanish","less than secondary",NA,NA
